unit_id,seed,model,pattern,context_slug,project_context,n_files,avg_mi_score,avg_cbo,avg_lcom_star,avg_rfc,avg_dit,ck_overall_score,ck_status
qwen-qwen2-5-7b-instruct__Composite__school-management-platform__rep0,40,qwen25_7b,Composite,school-management-platform,"A Java platform for student enrollment, class scheduling, grades, attendance, and teacher-course assignments.",7,63.01,1.625,0.1791666675,2.5,1.0,85.0,ok
qwen-qwen2-5-7b-instruct__Composite__warehouse-inventory-tracker__rep0,40,qwen25_7b,Composite,warehouse-inventory-tracker,"A Java solution for stock intake, item locations, reorder thresholds, supplier restocking, and movement logs.",5,62.9,1.2857142857142858,0.16326531428571428,1.2857142857142858,1.0,85.71428571428571,ok
qwen-qwen2-5-7b-instruct__Factory Method__banking-account-management__rep0,40,qwen25_7b,Factory Method,banking-account-management,"A Java application for customer accounts, deposits, withdrawals, transfers, statement generation, and audit history.",5,58.0,1.8,0.25833333999999997,2.0,1.4,84.8,ok
qwen-qwen2-5-7b-instruct__Factory Method__car-rental-management__rep0,40,qwen25_7b,Factory Method,car-rental-management,"A Java application to manage fleet inventory, reservations, vehicle pickup/return, pricing, and maintenance status.",9,67.89,1.8888888888888888,0.0,1.0,1.0,88.0,ok
qwen-qwen2-5-7b-instruct__Factory Method__food-delivery-management__rep0,40,qwen25_7b,Factory Method,food-delivery-management,"A Java backend for restaurants, menus, customer orders, delivery assignment, and order status tracking.",6,69.57,1.3333333333333333,0.0,1.0,1.1666666666666667,88.0,ok
qwen-qwen2-5-7b-instruct__Factory Method__gym-membership-platform__rep0,40,qwen25_7b,Factory Method,gym-membership-platform,"A Java system for memberships, class schedules, trainer booking, attendance check-ins, and payment tracking.",5,68.41,1.4,0.066666668,0.8,1.4,86.4,ok
qwen-qwen2-5-7b-instruct__Factory Method__hospital-appointment-scheduler__rep0,40,qwen25_7b,Factory Method,hospital-appointment-scheduler,"A Java application to manage doctors, patients, appointment slots, check-ins, and visit history for a clinic.",7,60.82,0.875,0.208333335,1.125,1.0,84.0,ok
qwen-qwen2-5-7b-instruct__Factory Method__hotel-reservation-system__rep0,40,qwen25_7b,Factory Method,hotel-reservation-system,"A Java system for room inventory, bookings, check-in/check-out, pricing plans, and guest billing.",5,64.98,1.8571428571428572,0.04761904857142857,1.4285714285714286,1.0,86.85714285714286,ok
qwen-qwen2-5-7b-instruct__Factory Method__issue-tracking-system__rep0,40,qwen25_7b,Factory Method,issue-tracking-system,"A Java project tracker for ticket creation, assignment, status workflow, comments, and priority handling.",5,64.18,2.0,0.15384616,1.8,1.2,82.8,ok
qwen-qwen2-5-7b-instruct__Factory Method__learning-management-system__rep0,40,qwen25_7b,Factory Method,learning-management-system,"A Java LMS for courses, lesson modules, assignments, submissions, grading, and progress tracking.",5,67.82,1.8,0.066666668,1.0,1.0,86.4,ok
qwen-qwen2-5-7b-instruct__Factory Method__library-management-system__rep0,40,qwen25_7b,Factory Method,library-management-system,"A Java system for managing books, members, borrowing/returns, due dates, and late fees in a public library.",8,65.77,1.7,0.15333333899999999,0.8,1.0,84.8,ok
qwen-qwen2-5-7b-instruct__Factory Method__payroll-and-hr-system__rep0,40,qwen25_7b,Factory Method,payroll-and-hr-system,"A Java HR/payroll system for employee records, leave requests, salary calculation, payslips, and tax deductions.",5,63.96,1.4,0.066666668,1.2,1.4,86.4,ok
qwen-qwen2-5-7b-instruct__Factory Method__school-management-platform__rep0,40,qwen25_7b,Factory Method,school-management-platform,"A Java platform for student enrollment, class scheduling, grades, attendance, and teacher-course assignments.",5,70.34,1.4,0.0,1.0,1.0,88.0,ok
qwen-qwen2-5-7b-instruct__Factory Method__warehouse-inventory-tracker__rep0,40,qwen25_7b,Factory Method,warehouse-inventory-tracker,"A Java solution for stock intake, item locations, reorder thresholds, supplier restocking, and movement logs.",4,64.28,1.5,0.055555556666666665,1.0,1.0,86.66666666666667,ok
qwen-qwen2-5-7b-instruct__Observer__banking-account-management__rep0,40,qwen25_7b,Observer,banking-account-management,"A Java application for customer accounts, deposits, withdrawals, transfers, statement generation, and audit history.",5,62.75,1.4,0.066666668,2.2,1.0,86.4,ok
qwen-qwen2-5-7b-instruct__Observer__car-rental-management__rep0,40,qwen25_7b,Observer,car-rental-management,"A Java application to manage fleet inventory, reservations, vehicle pickup/return, pricing, and maintenance status.",5,63.57,1.8,0.217142872,2.0,1.0,84.8,ok
qwen-qwen2-5-7b-instruct__Observer__food-delivery-management__rep0,40,qwen25_7b,Observer,food-delivery-management,"A Java backend for restaurants, menus, customer orders, delivery assignment, and order status tracking.",6,61.09,1.3333333333333333,0.16666666666666666,2.1666666666666665,1.3333333333333333,85.33333333333333,ok
qwen-qwen2-5-7b-instruct__Observer__gym-membership-platform__rep0,40,qwen25_7b,Observer,gym-membership-platform,"A Java system for memberships, class schedules, trainer booking, attendance check-ins, and payment tracking.",5,64.92,1.8,0.186666672,1.8,1.0,84.8,ok
qwen-qwen2-5-7b-instruct__Observer__hospital-appointment-scheduler__rep0,40,qwen25_7b,Observer,hospital-appointment-scheduler,"A Java application to manage doctors, patients, appointment slots, check-ins, and visit history for a clinic.",10,63.73,1.3,0.133333336,1.2,1.1,84.8,ok
qwen-qwen2-5-7b-instruct__Observer__hotel-reservation-system__rep0,40,qwen25_7b,Observer,hotel-reservation-system,"A Java system for room inventory, bookings, check-in/check-out, pricing plans, and guest billing.",4,59.0,2.0,0.214772725,3.5,1.0,83.5,ok
qwen-qwen2-5-7b-instruct__Observer__issue-tracking-system__rep0,40,qwen25_7b,Observer,issue-tracking-system,"A Java project tracker for ticket creation, assignment, status workflow, comments, and priority handling.",7,61.37,1.1428571428571428,0.12244898142857143,3.0,1.1428571428571428,84.28571428571429,ok
qwen-qwen2-5-7b-instruct__Observer__learning-management-system__rep0,40,qwen25_7b,Observer,learning-management-system,"A Java LMS for courses, lesson modules, assignments, submissions, grading, and progress tracking.",7,59.84,1.5714285714285714,0.3273809542857143,1.4285714285714286,1.0,81.14285714285714,ok
qwen-qwen2-5-7b-instruct__Observer__library-management-system__rep0,40,qwen25_7b,Observer,library-management-system,"A Java system for managing books, members, borrowing/returns, due dates, and late fees in a public library.",7,68.71,1.1428571428571428,0.21428571428571427,1.1428571428571428,1.2857142857142858,84.57142857142857,ok
qwen-qwen2-5-7b-instruct__Observer__payroll-and-hr-system__rep0,40,qwen25_7b,Observer,payroll-and-hr-system,"A Java HR/payroll system for employee records, leave requests, salary calculation, payslips, and tax deductions.",8,64.49,1.25,0.140625,1.75,1.0,86.0,ok
qwen-qwen2-5-7b-instruct__Observer__school-management-platform__rep0,40,qwen25_7b,Observer,school-management-platform,"A Java platform for student enrollment, class scheduling, grades, attendance, and teacher-course assignments.",5,61.78,1.6,0.20166666800000002,2.6,1.0,83.2,ok
qwen-qwen2-5-7b-instruct__Observer__warehouse-inventory-tracker__rep0,40,qwen25_7b,Observer,warehouse-inventory-tracker,"A Java solution for stock intake, item locations, reorder thresholds, supplier restocking, and movement logs.",4,59.74,1.75,0.29404764,4.5,1.0,84.0,ok
qwen-qwen2-5-7b-instruct__Singleton__banking-account-management__rep0,40,qwen25_7b,Singleton,banking-account-management,"A Java application for customer accounts, deposits, withdrawals, transfers, statement generation, and audit history.",4,62.88,1.4,0.16666666800000002,2.2,1.0,84.8,ok
qwen-qwen2-5-7b-instruct__Singleton__car-rental-management__rep0,40,qwen25_7b,Singleton,car-rental-management,"A Java application to manage fleet inventory, reservations, vehicle pickup/return, pricing, and maintenance status.",3,69.2,1.0,0.22222223333333332,1.3333333333333333,1.0,85.33333333333333,ok
qwen-qwen2-5-7b-instruct__Singleton__food-delivery-management__rep0,40,qwen25_7b,Singleton,food-delivery-management,"A Java backend for restaurants, menus, customer orders, delivery assignment, and order status tracking.",8,63.63,1.125,0.2916666675,0.0,1.0,83.0,ok
qwen-qwen2-5-7b-instruct__Singleton__gym-membership-platform__rep0,40,qwen25_7b,Singleton,gym-membership-platform,"A Java system for memberships, class schedules, trainer booking, attendance check-ins, and payment tracking.",6,60.76,1.6666666666666667,0.5208333333333334,2.6666666666666665,1.0,81.33333333333333,ok
qwen-qwen2-5-7b-instruct__Singleton__hospital-appointment-scheduler__rep0,40,qwen25_7b,Singleton,hospital-appointment-scheduler,"A Java application to manage doctors, patients, appointment slots, check-ins, and visit history for a clinic.",7,62.36,1.4285714285714286,0.5023809571428571,0.42857142857142855,1.0,80.0,ok
qwen-qwen2-5-7b-instruct__Singleton__hotel-reservation-system__rep0,40,qwen25_7b,Singleton,hotel-reservation-system,"A Java system for room inventory, bookings, check-in/check-out, pricing plans, and guest billing.",3,61.16,1.3333333333333333,0.16666666666666666,2.3333333333333335,1.0,85.33333333333333,ok
qwen-qwen2-5-7b-instruct__Singleton__issue-tracking-system__rep0,40,qwen25_7b,Singleton,issue-tracking-system,"A Java project tracker for ticket creation, assignment, status workflow, comments, and priority handling.",3,54.74,1.3333333333333333,0.5421245566666667,2.6666666666666665,1.0,74.0,ok
qwen-qwen2-5-7b-instruct__Singleton__learning-management-system__rep0,40,qwen25_7b,Singleton,learning-management-system,"A Java LMS for courses, lesson modules, assignments, submissions, grading, and progress tracking.",7,68.48,1.2857142857142858,0.19047619999999998,0.2857142857142857,1.0,85.71428571428571,ok
qwen-qwen2-5-7b-instruct__Singleton__library-management-system__rep0,40,qwen25_7b,Singleton,library-management-system,"A Java system for managing books, members, borrowing/returns, due dates, and late fees in a public library.",4,59.89,1.5,0.29166667,2.0,1.0,82.0,ok
qwen-qwen2-5-7b-instruct__Singleton__payroll-and-hr-system__rep0,40,qwen25_7b,Singleton,payroll-and-hr-system,"A Java HR/payroll system for employee records, leave requests, salary calculation, payslips, and tax deductions.",6,56.41,2.3333333333333335,0.3166666666666667,2.1666666666666665,1.0,82.66666666666667,ok
qwen-qwen2-5-7b-instruct__Singleton__school-management-platform__rep0,40,qwen25_7b,Singleton,school-management-platform,"A Java platform for student enrollment, class scheduling, grades, attendance, and teacher-course assignments.",2,63.79,1.0,0.33333335,2.0,1.0,84.0,ok
qwen-qwen2-5-7b-instruct__Singleton__warehouse-inventory-tracker__rep0,40,qwen25_7b,Singleton,warehouse-inventory-tracker,"A Java solution for stock intake, item locations, reorder thresholds, supplier restocking, and movement logs.",7,64.53,1.0,0.35238096,0.5714285714285714,1.0,81.14285714285714,ok
qwen-qwen2-5-7b-instruct__Strategy__banking-account-management__rep0,40,qwen25_7b,Strategy,banking-account-management,"A Java application for customer accounts, deposits, withdrawals, transfers, statement generation, and audit history.",9,64.87,1.6666666666666667,0.04232804444444445,2.111111111111111,1.0,87.11111111111111,ok
qwen-qwen2-5-7b-instruct__Strategy__car-rental-management__rep0,40,qwen25_7b,Strategy,car-rental-management,"A Java application to manage fleet inventory, reservations, vehicle pickup/return, pricing, and maintenance status.",5,67.48,0.625,0.0416666675,1.25,1.0,87.0,ok
qwen-qwen2-5-7b-instruct__Strategy__food-delivery-management__rep0,40,qwen25_7b,Strategy,food-delivery-management,"A Java backend for restaurants, menus, customer orders, delivery assignment, and order status tracking.",5,70.83,1.2,0.0,0.6,1.0,88.0,ok
qwen-qwen2-5-7b-instruct__Strategy__gym-membership-platform__rep0,40,qwen25_7b,Strategy,gym-membership-platform,"A Java system for memberships, class schedules, trainer booking, attendance check-ins, and payment tracking.",6,67.59,1.6666666666666667,0.083333335,1.3333333333333333,1.0,86.66666666666667,ok
qwen-qwen2-5-7b-instruct__Strategy__hospital-appointment-scheduler__rep0,40,qwen25_7b,Strategy,hospital-appointment-scheduler,"A Java application to manage doctors, patients, appointment slots, check-ins, and visit history for a clinic.",6,64.21,1.8333333333333333,0.16666667166666668,2.1666666666666665,1.0,85.33333333333333,ok
qwen-qwen2-5-7b-instruct__Strategy__hotel-reservation-system__rep0,40,qwen25_7b,Strategy,hotel-reservation-system,"A Java system for room inventory, bookings, check-in/check-out, pricing plans, and guest billing.",8,66.1,1.75,0.0625,1.0,1.25,87.0,ok
qwen-qwen2-5-7b-instruct__Strategy__issue-tracking-system__rep0,40,qwen25_7b,Strategy,issue-tracking-system,"A Java project tracker for ticket creation, assignment, status workflow, comments, and priority handling.",8,67.45,2.0,0.0833333375,0.75,1.0,87.0,ok
qwen-qwen2-5-7b-instruct__Strategy__learning-management-system__rep0,40,qwen25_7b,Strategy,learning-management-system,"A Java LMS for courses, lesson modules, assignments, submissions, grading, and progress tracking.",5,76.86,1.2,0.0,0.8,1.0,88.0,ok
qwen-qwen2-5-7b-instruct__Strategy__library-management-system__rep0,40,qwen25_7b,Strategy,library-management-system,"A Java system for managing books, members, borrowing/returns, due dates, and late fees in a public library.",6,58.52,2.0,0.26388889,2.1666666666666665,1.0,82.66666666666667,ok
qwen-qwen2-5-7b-instruct__Strategy__payroll-and-hr-system__rep0,40,qwen25_7b,Strategy,payroll-and-hr-system,"A Java HR/payroll system for employee records, leave requests, salary calculation, payslips, and tax deductions.",7,72.0,0.8571428571428571,0.09999999999999999,0.5714285714285714,1.0,86.85714285714286,ok
qwen-qwen2-5-7b-instruct__Strategy__school-management-platform__rep0,40,qwen25_7b,Strategy,school-management-platform,"A Java platform for student enrollment, class scheduling, grades, attendance, and teacher-course assignments.",5,70.38,1.2,0.0,1.4,1.0,88.0,ok
qwen-qwen2-5-7b-instruct__Strategy__warehouse-inventory-tracker__rep0,40,qwen25_7b,Strategy,warehouse-inventory-tracker,"A Java solution for stock intake, item locations, reorder thresholds, supplier restocking, and movement logs.",5,71.41,1.2,0.0,0.8,1.0,88.0,ok
qwen-qwen2-5-7b-instruct__Composite__banking-account-management__rep0,41,qwen25_7b,Composite,banking-account-management,"A Java application for customer accounts, deposits, withdrawals, transfers, statement generation, and audit history.",6,58.26,1.3333333333333333,0.10185186,3.0,1.5,85.0,ok
qwen-qwen2-5-7b-instruct__Composite__car-rental-management__rep0,41,qwen25_7b,Composite,car-rental-management,"A Java application to manage fleet inventory, reservations, vehicle pickup/return, pricing, and maintenance status.",7,62.62,2.5714285714285716,0.23809524285714284,2.0,1.2857142857142858,84.57142857142857,ok
qwen-qwen2-5-7b-instruct__Composite__food-delivery-management__rep0,41,qwen25_7b,Composite,food-delivery-management,"A Java backend for restaurants, menus, customer orders, delivery assignment, and order status tracking.",4,63.78,1.0,0.083333335,1.25,1.0,86.0,ok
qwen-qwen2-5-7b-instruct__Composite__gym-membership-platform__rep0,41,qwen25_7b,Composite,gym-membership-platform,"A Java system for memberships, class schedules, trainer booking, attendance check-ins, and payment tracking.",4,54.67,1.5,0.333333325,3.25,1.0,82.0,ok
qwen-qwen2-5-7b-instruct__Composite__hospital-appointment-scheduler__rep0,41,qwen25_7b,Composite,hospital-appointment-scheduler,"A Java application to manage doctors, patients, appointment slots, check-ins, and visit history for a clinic.",5,64.27,1.8,0.15,1.2,1.0,84.8,ok
qwen-qwen2-5-7b-instruct__Composite__hotel-reservation-system__rep0,41,qwen25_7b,Composite,hotel-reservation-system,"A Java system for room inventory, bookings, check-in/check-out, pricing plans, and guest billing.",4,58.42,0.75,0.20416667500000002,1.25,1.0,84.0,ok
qwen-qwen2-5-7b-instruct__Composite__issue-tracking-system__rep0,41,qwen25_7b,Composite,issue-tracking-system,"A Java project tracker for ticket creation, assignment, status workflow, comments, and priority handling.",6,61.26,1.8333333333333333,0.23564814,0.3333333333333333,1.3333333333333333,81.0,ok
qwen-qwen2-5-7b-instruct__Composite__learning-management-system__rep0,41,qwen25_7b,Composite,learning-management-system,"A Java LMS for courses, lesson modules, assignments, submissions, grading, and progress tracking.",5,62.72,1.8,0.2,1.4,1.4,84.8,ok
qwen-qwen2-5-7b-instruct__Composite__library-management-system__rep0,41,qwen25_7b,Composite,library-management-system,"A Java system for managing books, members, borrowing/returns, due dates, and late fees in a public library.",6,58.91,1.5,0.22698413166666667,3.5,1.0,84.0,ok
qwen-qwen2-5-7b-instruct__Composite__payroll-and-hr-system__rep0,41,qwen25_7b,Composite,payroll-and-hr-system,"A Java HR/payroll system for employee records, leave requests, salary calculation, payslips, and tax deductions.",5,56.78,1.6,0.394444454,1.6,1.0,80.0,ok
qwen-qwen2-5-7b-instruct__Composite__school-management-platform__rep0,41,qwen25_7b,Composite,school-management-platform,"A Java platform for student enrollment, class scheduling, grades, attendance, and teacher-course assignments.",4,59.67,1.5,0.125,1.75,1.0,86.0,ok
qwen-qwen2-5-7b-instruct__Composite__warehouse-inventory-tracker__rep0,41,qwen25_7b,Composite,warehouse-inventory-tracker,"A Java solution for stock intake, item locations, reorder thresholds, supplier restocking, and movement logs.",7,62.49,2.5714285714285716,0.15476191428571426,1.7142857142857142,1.0,85.71428571428571,ok
qwen-qwen2-5-7b-instruct__Factory Method__banking-account-management__rep0,41,qwen25_7b,Factory Method,banking-account-management,"A Java application for customer accounts, deposits, withdrawals, transfers, statement generation, and audit history.",8,63.79,1.1111111111111112,0.08888888888888889,0.8888888888888888,1.2222222222222223,86.22222222222223,ok
qwen-qwen2-5-7b-instruct__Factory Method__car-rental-management__rep0,41,qwen25_7b,Factory Method,car-rental-management,"A Java application to manage fleet inventory, reservations, vehicle pickup/return, pricing, and maintenance status.",7,66.21,1.8571428571428572,0.08571428571428572,0.7142857142857143,1.2857142857142858,86.85714285714286,ok
qwen-qwen2-5-7b-instruct__Factory Method__food-delivery-management__rep0,41,qwen25_7b,Factory Method,food-delivery-management,"A Java backend for restaurants, menus, customer orders, delivery assignment, and order status tracking.",6,68.69,1.6666666666666667,0.0625,1.0,1.0,86.66666666666667,ok
qwen-qwen2-5-7b-instruct__Factory Method__gym-membership-platform__rep0,41,qwen25_7b,Factory Method,gym-membership-platform,"A Java system for memberships, class schedules, trainer booking, attendance check-ins, and payment tracking.",5,68.84,1.8,0.066666668,0.6,1.0,86.4,ok
qwen-qwen2-5-7b-instruct__Factory Method__hospital-appointment-scheduler__rep0,41,qwen25_7b,Factory Method,hospital-appointment-scheduler,"A Java application to manage doctors, patients, appointment slots, check-ins, and visit history for a clinic.",10,60.45,2.0833333333333335,0.2555555566666667,1.4166666666666667,1.1666666666666667,82.5,ok
qwen-qwen2-5-7b-instruct__Factory Method__hotel-reservation-system__rep0,41,qwen25_7b,Factory Method,hotel-reservation-system,"A Java system for room inventory, bookings, check-in/check-out, pricing plans, and guest billing.",5,69.0,1.4,0.11111112000000001,0.2,1.0,86.4,ok
qwen-qwen2-5-7b-instruct__Factory Method__issue-tracking-system__rep0,41,qwen25_7b,Factory Method,issue-tracking-system,"A Java project tracker for ticket creation, assignment, status workflow, comments, and priority handling.",5,64.2,1.8,0.15384616,1.6,1.0,82.8,ok
qwen-qwen2-5-7b-instruct__Factory Method__learning-management-system__rep0,41,qwen25_7b,Factory Method,learning-management-system,"A Java LMS for courses, lesson modules, assignments, submissions, grading, and progress tracking.",6,64.69,1.5,0.083333335,1.3333333333333333,1.3333333333333333,86.66666666666667,ok
qwen-qwen2-5-7b-instruct__Factory Method__library-management-system__rep0,41,qwen25_7b,Factory Method,library-management-system,"A Java system for managing books, members, borrowing/returns, due dates, and late fees in a public library.",7,62.21,2.0,0.158333335,1.0,1.0,85.0,ok
qwen-qwen2-5-7b-instruct__Factory Method__payroll-and-hr-system__rep0,41,qwen25_7b,Factory Method,payroll-and-hr-system,"A Java HR/payroll system for employee records, leave requests, salary calculation, payslips, and tax deductions.",5,65.25,1.4,0.133333336,0.2,1.4,84.8,ok
qwen-qwen2-5-7b-instruct__Factory Method__school-management-platform__rep0,41,qwen25_7b,Factory Method,school-management-platform,"A Java platform for student enrollment, class scheduling, grades, attendance, and teacher-course assignments.",5,69.5,2.0,0.0,1.2,1.0,88.0,ok
qwen-qwen2-5-7b-instruct__Factory Method__warehouse-inventory-tracker__rep0,41,qwen25_7b,Factory Method,warehouse-inventory-tracker,"A Java solution for stock intake, item locations, reorder thresholds, supplier restocking, and movement logs.",5,62.96,1.2,0.075,1.6,1.4,86.4,ok
qwen-qwen2-5-7b-instruct__Observer__banking-account-management__rep0,41,qwen25_7b,Observer,banking-account-management,"A Java application for customer accounts, deposits, withdrawals, transfers, statement generation, and audit history.",9,65.44,2.3333333333333335,0.11111111555555556,1.5555555555555556,1.3333333333333333,86.22222222222223,ok
qwen-qwen2-5-7b-instruct__Observer__car-rental-management__rep0,41,qwen25_7b,Observer,car-rental-management,"A Java application to manage fleet inventory, reservations, vehicle pickup/return, pricing, and maintenance status.",5,62.09,1.8,0.137142872,1.8,1.2,86.4,ok
qwen-qwen2-5-7b-instruct__Observer__food-delivery-management__rep0,41,qwen25_7b,Observer,food-delivery-management,"A Java backend for restaurants, menus, customer orders, delivery assignment, and order status tracking.",5,60.87,1.2,0.16666666800000002,2.2,1.6,84.8,ok
qwen-qwen2-5-7b-instruct__Observer__gym-membership-platform__rep0,41,qwen25_7b,Observer,gym-membership-platform,"A Java system for memberships, class schedules, trainer booking, attendance check-ins, and payment tracking.",4,63.21,2.75,0.1875,3.25,1.0,84.0,ok
qwen-qwen2-5-7b-instruct__Observer__hospital-appointment-scheduler__rep0,41,qwen25_7b,Observer,hospital-appointment-scheduler,"A Java application to manage doctors, patients, appointment slots, check-ins, and visit history for a clinic.",10,59.3,1.8,0.22373016999999998,1.5,1.1,83.8,ok
qwen-qwen2-5-7b-instruct__Observer__hotel-reservation-system__rep0,41,qwen25_7b,Observer,hotel-reservation-system,"A Java system for room inventory, bookings, check-in/check-out, pricing plans, and guest billing.",5,63.99,1.6,0.146666668,1.8,1.2,84.8,ok
qwen-qwen2-5-7b-instruct__Observer__issue-tracking-system__rep0,41,qwen25_7b,Observer,issue-tracking-system,"A Java project tracker for ticket creation, assignment, status workflow, comments, and priority handling.",7,62.35,1.4285714285714286,0.17252747142857144,1.8571428571428572,1.1428571428571428,83.14285714285714,ok
qwen-qwen2-5-7b-instruct__Observer__learning-management-system__rep0,41,qwen25_7b,Observer,learning-management-system,"A Java LMS for courses, lesson modules, assignments, submissions, grading, and progress tracking.",5,60.32,2.2,0.30833332,3.0,1.2,83.2,ok
qwen-qwen2-5-7b-instruct__Observer__library-management-system__rep0,41,qwen25_7b,Observer,library-management-system,"A Java system for managing books, members, borrowing/returns, due dates, and late fees in a public library.",7,58.77,1.25,0.19657738375,2.875,1.0,82.75,ok
qwen-qwen2-5-7b-instruct__Observer__payroll-and-hr-system__rep0,41,qwen25_7b,Observer,payroll-and-hr-system,"A Java HR/payroll system for employee records, leave requests, salary calculation, payslips, and tax deductions.",10,64.04,1.3,0.13666667,1.5,1.1,85.6,ok
qwen-qwen2-5-7b-instruct__Observer__school-management-platform__rep0,41,qwen25_7b,Observer,school-management-platform,"A Java platform for student enrollment, class scheduling, grades, attendance, and teacher-course assignments.",5,62.74,1.4,0.21333333999999998,2.0,1.0,84.8,ok
qwen-qwen2-5-7b-instruct__Observer__warehouse-inventory-tracker__rep0,41,qwen25_7b,Observer,warehouse-inventory-tracker,"A Java solution for stock intake, item locations, reorder thresholds, supplier restocking, and movement logs.",4,65.16,1.5,0.125,1.25,1.0,86.0,ok
qwen-qwen2-5-7b-instruct__Singleton__banking-account-management__rep0,41,qwen25_7b,Singleton,banking-account-management,"A Java application for customer accounts, deposits, withdrawals, transfers, statement generation, and audit history.",4,56.38,1.75,0.26666665,3.25,1.0,84.0,ok
qwen-qwen2-5-7b-instruct__Singleton__car-rental-management__rep0,41,qwen25_7b,Singleton,car-rental-management,"A Java application to manage fleet inventory, reservations, vehicle pickup/return, pricing, and maintenance status.",3,70.29,1.0,0.22222223333333332,1.3333333333333333,1.0,85.33333333333333,ok
qwen-qwen2-5-7b-instruct__Singleton__food-delivery-management__rep0,41,qwen25_7b,Singleton,food-delivery-management,"A Java backend for restaurants, menus, customer orders, delivery assignment, and order status tracking.",8,62.99,1.875,0.2333333375,1.25,1.0,84.0,ok
qwen-qwen2-5-7b-instruct__Singleton__gym-membership-platform__rep0,41,qwen25_7b,Singleton,gym-membership-platform,"A Java system for memberships, class schedules, trainer booking, attendance check-ins, and payment tracking.",6,55.26,1.6666666666666667,0.6018518916666667,4.333333333333333,1.0,74.66666666666667,ok
qwen-qwen2-5-7b-instruct__Singleton__hospital-appointment-scheduler__rep0,41,qwen25_7b,Singleton,hospital-appointment-scheduler,"A Java application to manage doctors, patients, appointment slots, check-ins, and visit history for a clinic.",6,64.23,1.6666666666666667,0.5555555833333333,2.5,1.0,81.33333333333333,ok
qwen-qwen2-5-7b-instruct__Singleton__hotel-reservation-system__rep0,41,qwen25_7b,Singleton,hotel-reservation-system,"A Java system for room inventory, bookings, check-in/check-out, pricing plans, and guest billing.",5,64.95,1.6,0.56666668,1.6,1.0,78.4,ok
qwen-qwen2-5-7b-instruct__Singleton__issue-tracking-system__rep0,41,qwen25_7b,Singleton,issue-tracking-system,"A Java project tracker for ticket creation, assignment, status workflow, comments, and priority handling.",2,58.87,1.0,0.428571435,3.5,1.0,80.0,ok
